,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,0,1,2,3,4,5,6
129,129.0,129.0,129.0,129.0,7/6/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130.0,130.0,130.0,130.0,7/9/1990,14.59,14.59,14.59,14.59,-0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131.0,131.0,131.0,131.0,7/10/1990,14.6,14.6,14.6,14.6,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132.0,132.0,132.0,132.0,7/11/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133.0,133.0,133.0,133.0,7/12/1990,14.6,14.6,14.6,14.6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134.0,134.0,134.0,134.0,7/13/1990,14.58,14.58,14.58,14.58,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135.0,135.0,135.0,135.0,7/16/1990,14.59,14.59,14.59,14.59,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136.0,136.0,136.0,136.0,7/17/1990,14.62,14.62,14.62,14.62,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137.0,137.0,137.0,137.0,7/18/1990,14.63,14.63,14.63,14.63,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,138.0,138.0,138.0,138.0,7/19/1990,14.62,14.62,14.62,14.62,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,139.0,139.0,139.0,139.0,7/20/1990,14.64,14.64,14.64,14.64,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,140.0,140.0,140.0,140.0,7/23/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141.0,141.0,141.0,141.0,7/24/1990,14.65,14.65,14.65,14.65,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,142.0,142.0,142.0,142.0,7/25/1990,14.64,14.64,14.64,14.64,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,143.0,143.0,143.0,143.0,7/26/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,144.0,144.0,144.0,144.0,7/27/1990,14.64,14.64,14.64,14.64,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,145.0,145.0,145.0,145.0,7/30/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,146.0,146.0,146.0,146.0,7/31/1990,14.66,14.66,14.66,14.66,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,147.0,147.0,147.0,147.0,8/1/1990,14.66,14.66,14.66,14.66,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,148.0,148.0,148.0,148.0,8/2/1990,14.62,14.62,14.62,14.62,-0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,149.0,149.0,149.0,149.0,8/3/1990,14.67,14.67,14.67,14.67,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,150.0,150.0,150.0,150.0,8/6/1990,14.65,14.65,14.65,14.65,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151.0,151.0,151.0,151.0,8/7/1990,14.66,14.66,14.66,14.66,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,152.0,152.0,152.0,152.0,8/8/1990,14.65,14.65,14.65,14.65,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,153.0,153.0,153.0,153.0,8/9/1990,14.64,14.64,14.64,14.64,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,154.0,154.0,154.0,154.0,8/10/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,155.0,155.0,155.0,155.0,8/13/1990,14.65,14.65,14.65,14.65,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,156.0,156.0,156.0,156.0,8/14/1990,14.64,14.64,14.64,14.64,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157.0,157.0,157.0,157.0,8/15/1990,14.64,14.64,14.64,14.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,158.0,158.0,158.0,158.0,8/16/1990,14.62,14.62,14.62,14.62,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,159.0,159.0,159.0,159.0,8/17/1990,14.64,14.64,14.64,14.64,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160.0,160.0,160.0,160.0,8/20/1990,14.64,14.64,14.64,14.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161.0,161.0,161.0,161.0,8/21/1990,14.63,14.63,14.63,14.63,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,162.0,162.0,162.0,162.0,8/22/1990,14.62,14.62,14.62,14.62,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,163.0,163.0,163.0,163.0,8/23/1990,14.62,14.62,14.62,14.62,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,164.0,164.0,164.0,164.0,8/24/1990,14.61,14.61,14.61,14.61,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165.0,165.0,165.0,165.0,8/28/1990,14.62,14.62,14.62,14.62,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,166.0,166.0,166.0,166.0,8/29/1990,14.6,14.6,14.6,14.6,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,167.0,167.0,167.0,167.0,8/30/1990,14.64,14.64,14.64,14.64,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,168.0,168.0,168.0,168.0,8/31/1990,14.64,14.64,14.64,14.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,169.0,169.0,169.0,169.0,9/3/1990,14.64,14.64,14.64,14.64,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,170.0,170.0,170.0,170.0,9/4/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171.0,171.0,171.0,171.0,9/5/1990,14.64,14.64,14.64,14.64,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172.0,172.0,172.0,172.0,9/6/1990,14.65,14.65,14.65,14.65,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173.0,173.0,173.0,173.0,9/7/1990,14.66,14.66,14.66,14.66,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174.0,174.0,174.0,174.0,9/10/1990,14.67,14.67,14.67,14.67,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175.0,175.0,175.0,175.0,9/11/1990,14.66,14.66,14.66,14.66,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
